,EQM,DP,EQM,DP,EQM,DP,EQM,DP,EQM,DP,EQM,DP
Ridge,21.7601178505361,32.630866059432876,15.831018984321478,28.72771199472399,105.13152460968155,147.97565338513039,20.08815561247454,34.32127635746544,1.294288419222793,1.8124580546358078,53.250328236527764,94.34329680587871
Random Forest,15.732034347307648,23.685475789527082,14.43748064718974,37.778237305160275,68.45646739449214,135.1303792541214,18.826524294071554,34.173809471231635,1.2517678306439075,1.849817594900534,33.067369400189506,75.44668899888494
AdaBoost,12.534522772099884,16.020501993404494,17.147731886806117,36.93208519933473,55.98558736417793,98.9253616446127,29.984693835644247,44.34734066467733,1.4298164816548475,2.045697715582719,42.60447969132243,74.3104761193745
MLP,44.46086332650555,58.47922816237326,17.19523341182001,28.129793170143575,43.637038889150276,74.83474181804017,22.50370664774467,37.73252660541732,1.3249642323251387,2.4750941658965053,48.710595785882795,111.10039820228708
