,EQM,DP,EQM,DP,EQM,DP,EQM,DP
Ridge,5.456113948286391,7.84689327799738,5.772657529564487,8.136437360078537,5.2039301422943165,7.697150060604979,5.696382620371825,8.61557291947186
Random Forest,4.228169044882567,6.0679214187463035,4.070075897512857,5.39439964658038,3.793785320475669,5.713934160118269,3.9854983400468136,5.6191076675850065
AdaBoost,4.583048860102841,7.185010168089231,4.309681950086912,5.502133038453572,3.780107664824119,5.881260674258811,4.102131625208801,5.746227150193682
MLP,5.3125273344432555,7.343859163526296,4.8894653007611275,6.7495778982189885,4.385812187591212,5.972292470268672,4.702442049985473,6.7255545184522125
