,EQM,DP,EQM,DP,EQM,DP,EQM,DP
Ridge,10.7528282149998,15.900534974696225,10.801078948092995,14.638521523176996,9.903832137349626,14.481136271320933,10.763481574885423,15.745160927994078
Random Forest,9.239614177226967,13.534563742975873,9.049056543929494,12.271090771096594,8.576452807766199,12.9784176092262,8.993418857513804,12.545468622115667
AdaBoost,10.392424028737162,15.380719169335537,9.19014906870597,12.122759460173938,8.756722070010243,13.859237185705556,9.035161318872602,12.83345855485314
MLP,10.752877261765688,15.900658859818087,10.067954123906846,13.607899145466508,8.95913237648369,12.582247505376364,9.590709295345839,13.524085353457735
