,EQM,DP,EQM,DP,EQM,DP,EQM,DP
Ridge,2.3054300323586965,3.3538147971983157,2.6791458396599124,4.615920930394614,2.3791828442819605,4.0467731298376375,2.5717662133594863,4.3637328374343545
Random Forest,1.034399625173326,1.411867754158717,1.0463543767525056,1.4441472589941333,0.948051152540248,1.4318798527870549,1.0305067692474619,1.478238215408953
AdaBoost,1.1805969420380453,1.694540500846334,1.0032616048881298,1.4055052665469678,0.9674462287019203,1.4535942720089972,1.0530001868173509,1.4661956312276172
MLP,1.9117808512886016,2.7235141331134534,1.7069934905588164,2.927325187902928,1.4175178903454686,1.9733542269625166,1.5216162955742407,2.2846062545839474
